                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.58316,                0.52172,                 1.0677,                0.89861,                      1,                  0.995,                0.80897,                0.78906,                 1.9096,                 1.4106,             0.00048237,             0.00048237,             0.00048237
                     37,                0.66876,                0.67626,                 1.0091,                0.95563,                      1,                  0.995,                0.81384,                0.66215,                 1.6373,                  1.188,             0.00049318,             0.00049318,             0.00049318
                     38,                 0.6237,                0.53877,                 1.1534,                0.95563,                      1,                  0.995,                0.81384,                0.66215,                 1.6373,                  1.188,             0.00050382,             0.00050382,             0.00050382
                     39,                0.70335,                0.61688,                  1.071,                0.98459,                      1,                  0.995,                0.89944,                0.54194,                0.94108,                0.95516,             0.00051431,             0.00051431,             0.00051431
                     40,                0.65974,                0.64199,                  1.091,                0.98459,                      1,                  0.995,                0.89944,                0.54194,                0.94108,                0.95516,             0.00052462,             0.00052462,             0.00052462
                     41,                0.70927,                0.64618,                 1.0836,                0.98676,                      1,                  0.995,                0.81551,                0.79597,                 1.0957,                  1.311,             0.00053477,             0.00053477,             0.00053477
                     42,                0.71679,                0.64269,                 1.1573,                0.98676,                      1,                  0.995,                0.81551,                0.79597,                 1.0957,                  1.311,             0.00054476,             0.00054476,             0.00054476
                     43,                0.58731,                0.61752,                 1.0019,                0.93487,                      1,                  0.995,                0.81595,                0.78321,                 1.1973,                 1.2831,             0.00055458,             0.00055458,             0.00055458
                     44,                0.61231,                0.53621,                 1.1402,                0.93487,                      1,                  0.995,                0.81595,                0.78321,                 1.1973,                 1.2831,             0.00056424,             0.00056424,             0.00056424
                     45,                0.89832,                0.72024,                 1.3306,                0.82589,                      1,                  0.995,                0.83237,                0.69924,                 2.2766,                 1.0954,             0.00057373,             0.00057373,             0.00057373
                     46,                0.62919,                0.58101,                 1.1838,                0.82589,                      1,                  0.995,                0.83237,                0.69924,                 2.2766,                 1.0954,             0.00058305,             0.00058305,             0.00058305
                     47,                0.78451,                0.72073,                 1.1542,                0.76975,                      1,                0.96167,                0.83729,                 1.1424,                 2.0529,                 1.4814,             0.00059222,             0.00059222,             0.00059222
                     48,                0.71812,                0.62086,                 1.2523,                0.76975,                      1,                0.96167,                0.83729,                 1.1424,                 2.0529,                 1.4814,             0.00060121,             0.00060121,             0.00060121
                     49,                0.62372,                0.65347,                 1.1033,                0.51616,                      1,                0.55278,                0.39373,                 1.3828,                 3.6077,                 1.8816,             0.00061004,             0.00061004,             0.00061004
                     50,                0.69307,                0.64924,                 1.1451,                0.51616,                      1,                0.55278,                0.39373,                 1.3828,                 3.6077,                 1.8816,             0.00061871,             0.00061871,             0.00061871
                     51,                0.79041,                 0.5851,                 1.1929,                0.44974,                      1,                0.55278,                0.35784,                 1.6772,                 5.0388,                 2.1712,             0.00062721,             0.00062721,             0.00062721
                     52,                0.56633,                0.52411,                 1.0488,                0.44974,                      1,                0.55278,                0.35784,                 1.6772,                 5.0388,                 2.1712,             0.00063554,             0.00063554,             0.00063554
                     53,                0.58622,                0.54575,                 1.0951,                0.44974,                      1,                0.55278,                0.35784,                 1.6772,                 5.0388,                 2.1712,             0.00064372,             0.00064372,             0.00064372
                     54,                 0.6291,                0.54717,                 1.0811,                 0.2579,                    0.8,                0.49382,                0.11627,                   2.11,                 11.101,                 2.4419,             0.00065172,             0.00065172,             0.00065172
                     55,                0.68854,                0.63629,                  1.146,                 0.2579,                    0.8,                0.49382,                0.11627,                   2.11,                 11.101,                 2.4419,             0.00065956,             0.00065956,             0.00065956
                     56,                0.78134,                 0.7103,                 1.1695,                 0.2579,                    0.8,                0.49382,                0.11627,                   2.11,                 11.101,                 2.4419,             0.00066724,             0.00066724,             0.00066724
                     57,                0.62729,                0.63453,                 1.1373,                0.16874,                    0.8,                0.23688,                0.12442,                 2.1923,                 18.536,                 2.4602,             0.00067475,             0.00067475,             0.00067475
                     58,                0.72537,                  0.625,                  1.064,                0.16874,                    0.8,                0.23688,                0.12442,                 2.1923,                 18.536,                 2.4602,             0.00068209,             0.00068209,             0.00068209
                     59,                0.63053,                0.64812,                 1.0812,                0.16874,                    0.8,                0.23688,                0.12442,                 2.1923,                 18.536,                 2.4602,             0.00068927,             0.00068927,             0.00068927
                     60,                0.61962,                0.57541,                  1.107,                0.13531,                    0.8,                0.35924,                0.13104,                 2.5986,                 18.978,                  2.858,             0.00069629,             0.00069629,             0.00069629
                     61,                0.58428,                0.49331,                 1.0704,                0.13531,                    0.8,                0.35924,                0.13104,                 2.5986,                 18.978,                  2.858,             0.00070314,             0.00070314,             0.00070314
                     62,                0.60648,                0.57013,                 1.0385,                0.13531,                    0.8,                0.35924,                0.13104,                 2.5986,                 18.978,                  2.858,             0.00070983,             0.00070983,             0.00070983
                     63,                0.75429,                0.70512,                 1.1882,                0.23767,                      1,                0.56103,                0.35948,                 1.5444,                 10.099,                 1.6891,             0.00071635,             0.00071635,             0.00071635
                     64,                0.73429,                0.66267,                 1.1889,                0.23767,                      1,                0.56103,                0.35948,                 1.5444,                 10.099,                 1.6891,              0.0007227,              0.0007227,              0.0007227
                     65,                0.75851,                0.63756,                  1.272,                0.23767,                      1,                0.56103,                0.35948,                 1.5444,                 10.099,                 1.6891,             0.00072889,             0.00072889,             0.00072889
                     66,                0.61916,                 0.5934,                 1.1517,                0.62358,                      1,                  0.995,                0.90996,                0.75994,                 3.4079,                 1.1865,             0.00073492,             0.00073492,             0.00073492
                     67,                 0.6027,                0.54399,                  1.057,                0.62358,                      1,                  0.995,                0.90996,                0.75994,                 3.4079,                 1.1865,             0.00074078,             0.00074078,             0.00074078
                     68,                 0.5806,                0.57511,                 1.0763,                0.62358,                      1,                  0.995,                0.90996,                0.75994,                 3.4079,                 1.1865,             0.00074647,             0.00074647,             0.00074647
                     69,                0.53952,                0.50714,                0.96974,                      1,                    0.6,                  0.995,                0.82857,                0.65393,                  4.987,                 1.0887,               0.000752,               0.000752,               0.000752
                     70,                0.60479,                 0.5548,                0.96819,                      1,                    0.6,                  0.995,                0.82857,                0.65393,                  4.987,                 1.0887,             0.00075737,             0.00075737,             0.00075737
                     71,                0.61471,                0.60543,                 1.0763,                      1,                    0.6,                  0.995,                0.82857,                0.65393,                  4.987,                 1.0887,             0.00076257,             0.00076257,             0.00076257
                     72,                0.65747,                0.58938,                 1.1235,                0.37287,                      1,                  0.995,                0.82227,                0.72281,                 3.7758,                 1.0888,              0.0007676,              0.0007676,              0.0007676
                     73,                0.73282,                0.65639,                0.95464,                0.37287,                      1,                  0.995,                0.82227,                0.72281,                 3.7758,                 1.0888,             0.00077247,             0.00077247,             0.00077247
                     74,                0.66139,                0.54529,                 1.1499,                0.37287,                      1,                  0.995,                0.82227,                0.72281,                 3.7758,                 1.0888,             0.00077718,             0.00077718,             0.00077718
                     75,                0.63185,                0.59399,                  1.183,                0.24861,                      1,                0.32333,                0.31096,                0.85227,                 3.4195,                 1.5502,             0.00078172,             0.00078172,             0.00078172
                     76,                0.64059,                0.55614,                 1.0419,                0.24861,                      1,                0.32333,                0.31096,                0.85227,                 3.4195,                 1.5502,             0.00078609,             0.00078609,             0.00078609
                     77,                0.80161,                0.74446,                 1.1931,                0.24861,                      1,                0.32333,                0.31096,                0.85227,                 3.4195,                 1.5502,              0.0007903,              0.0007903,              0.0007903
                     78,                0.95399,                0.71916,                 1.3652,                 0.0944,                      1,                0.09755,                0.08348,                0.77849,                 5.2329,                 1.2124,             0.00079435,             0.00079435,             0.00079435
