                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.48193,                0.81636,                 1.0621,                0.82272,                      1,                  0.995,                 0.9219,                0.38354,                 1.8845,                0.78618,             0.00045745,             0.00045745,             0.00045745
                     37,                0.52039,                0.80005,                  1.018,                0.82272,                      1,                  0.995,                 0.9219,                0.38354,                 1.8845,                0.78618,             0.00046339,             0.00046339,             0.00046339
                     38,                0.59926,                0.87052,                 1.0493,                0.83298,                0.99788,                0.96167,                0.93338,                0.36523,                 1.8415,                0.78378,             0.00046894,             0.00046894,             0.00046894
                     39,                0.55196,                0.89404,                 1.0845,                0.83298,                0.99788,                0.96167,                0.93338,                0.36523,                 1.8415,                0.78378,             0.00047409,             0.00047409,             0.00047409
                     40,                0.48022,                0.93864,                 1.0091,                0.71121,                0.98706,                0.89786,                0.85621,                0.42658,                 1.9856,                0.86594,             0.00047884,             0.00047884,             0.00047884
                     41,                0.63148,                0.96233,                 1.1669,                0.71121,                0.98706,                0.89786,                0.85621,                0.42658,                 1.9856,                0.86594,              0.0004832,              0.0004832,              0.0004832
                     42,                  0.518,                0.83724,                 1.0626,                0.98525,                    0.8,                0.96167,                0.87464,                0.50982,                 1.9782,                0.94595,             0.00048716,             0.00048716,             0.00048716
                     43,                0.52635,                0.82179,                0.98579,                0.98525,                    0.8,                0.96167,                0.87464,                0.50982,                 1.9782,                0.94595,             0.00049073,             0.00049073,             0.00049073
                     44,                0.65937,                0.89912,                 1.0246,                0.98172,                    0.8,                0.96167,                0.82709,                0.72809,                 1.9591,                 1.1255,              0.0004939,              0.0004939,              0.0004939
                     45,                0.57813,                 0.9476,                 1.0493,                0.98172,                    0.8,                0.96167,                0.82709,                0.72809,                 1.9591,                 1.1255,             0.00049667,             0.00049667,             0.00049667
                     46,                 0.5717,                0.81369,                 1.0121,                 0.9817,                    0.8,                0.96167,                 0.7856,                0.74658,                 1.7831,                 1.2352,             0.00049905,             0.00049905,             0.00049905
                     47,                0.55102,                0.83006,                 1.0525,                 0.9817,                    0.8,                0.96167,                 0.7856,                0.74658,                 1.7831,                 1.2352,             0.00050103,             0.00050103,             0.00050103
                     48,                0.58105,                0.90423,                  1.125,                 0.9807,                    0.8,                0.90611,                0.78762,                0.68288,                 1.6425,                 1.2106,             0.00050262,             0.00050262,             0.00050262
                     49,                0.45542,                0.82294,                  1.046,                 0.9807,                    0.8,                0.90611,                0.78762,                0.68288,                 1.6425,                 1.2106,             0.00050381,             0.00050381,             0.00050381
                     50,                0.56238,                0.84539,                0.99972,                0.97912,                    0.8,                   0.92,                0.73329,                0.67167,                 1.5385,                 1.1444,              0.0005046,              0.0005046,              0.0005046
                     51,                0.55591,                0.87915,                 1.1153,                0.97912,                    0.8,                   0.92,                0.73329,                0.67167,                 1.5385,                 1.1444,               0.000505,               0.000505,               0.000505
                     52,                 0.5318,                0.85241,                 1.0591,                0.97943,                    0.8,                   0.92,                0.74575,                0.76061,                 1.6573,                 1.1861,               0.000505,               0.000505,               0.000505
                     53,                0.74515,                0.95344,                 1.1819,                0.97943,                    0.8,                   0.92,                0.74575,                0.76061,                 1.6573,                 1.1861,             0.00050461,             0.00050461,             0.00050461
                     54,                0.53839,                0.77956,                 1.0313,                0.97945,                    0.8,                  0.895,                0.76539,                0.74674,                 1.7752,                 1.1463,             0.00050382,             0.00050382,             0.00050382
